,city_store
28,1 - Santiago
32,2 - Santiago
34,3 - Santiago
35,4 - Santiago
49,5 - Temuco
42,6 - Santiago
43,7 - Santiago
44,8 - Santiago
45,9 - Santiago
29,10 - Santiago
23,11 - Osorno
24,12 - Puerto Montt
25,13 - Puerto Montt
50,14 - Valdivia
14,15 - Copiapo
47,16 - Temuco
30,17 - Santiago
31,18 - Santiago
3,19 - Calama
33,20 - Santiago
48,21 - Temuco
16,22 - Coyhaique
0,23 - Antofagasta
6,24 - Concepcion
17,25 - Curico
7,26 - Concepcion
27,27 - Rancagua
8,28 - Concepcion
9,29 - Concepcion
10,30 - Concepcion
15,31 - Coquimbo
11,32 - Concepcion
22,33 - Los Angeles
12,34 - Concepcion
21,35 - Linares
18,36 - Iquique
51,37 - Valparaiso-Vina del mar
46,38 - Talca
52,39 - Valparaiso-Vina del mar
19,40 - La Serena
20,41 - La Serena
53,42 - Valparaiso-Vina del mar
2,43 - Arica
36,44 - Santiago
37,45 - Santiago
38,46 - Santiago
39,47 - Santiago
40,48 - Santiago
41,49 - Santiago
1,50 - Antofagasta
13,51 - Concepcion
4,52 - Chillan
5,53 - Chillan
26,54 - Punta Arenas
