,store_nbr,family,year,sales,city,store_nbr_city
0,1,AUTOMOTIVE,2013,781.0,Santiago,1 - Santiago
1,1,AUTOMOTIVE,2014,1019.0,Santiago,1 - Santiago
2,1,AUTOMOTIVE,2015,1151.0,Santiago,1 - Santiago
3,1,AUTOMOTIVE,2016,1600.0,Santiago,1 - Santiago
4,1,AUTOMOTIVE,2017,924.0,Santiago,1 - Santiago
5,1,BABY CARE,2013,0.0,Santiago,1 - Santiago
6,1,BABY CARE,2014,0.0,Santiago,1 - Santiago
7,1,BABY CARE,2015,0.0,Santiago,1 - Santiago
8,1,BABY CARE,2016,0.0,Santiago,1 - Santiago
9,1,BABY CARE,2017,0.0,Santiago,1 - Santiago
10,1,BEAUTY,2013,648.0,Santiago,1 - Santiago
11,1,BEAUTY,2014,808.0,Santiago,1 - Santiago
12,1,BEAUTY,2015,824.0,Santiago,1 - Santiago
13,1,BEAUTY,2016,1040.0,Santiago,1 - Santiago
14,1,BEAUTY,2017,736.0,Santiago,1 - Santiago
15,1,BEVERAGES,2013,311948.0,Santiago,1 - Santiago
16,1,BEVERAGES,2014,545341.0,Santiago,1 - Santiago
17,1,BEVERAGES,2015,577879.0,Santiago,1 - Santiago
18,1,BEVERAGES,2016,745377.0,Santiago,1 - Santiago
19,1,BEVERAGES,2017,493224.0,Santiago,1 - Santiago
20,1,BOOKS,2013,0.0,Santiago,1 - Santiago
21,1,BOOKS,2014,0.0,Santiago,1 - Santiago
22,1,BOOKS,2015,0.0,Santiago,1 - Santiago
23,1,BOOKS,2016,107.0,Santiago,1 - Santiago
24,1,BOOKS,2017,104.0,Santiago,1 - Santiago
25,1,BREAD/BAKERY,2013,98049.81,Santiago,1 - Santiago
26,1,BREAD/BAKERY,2014,114422.5,Santiago,1 - Santiago
27,1,BREAD/BAKERY,2015,133522.11,Santiago,1 - Santiago
28,1,BREAD/BAKERY,2016,140995.5,Santiago,1 - Santiago
29,1,BREAD/BAKERY,2017,83002.29,Santiago,1 - Santiago
30,1,CELEBRATION,2013,0.0,Santiago,1 - Santiago
31,1,CELEBRATION,2014,4248.0,Santiago,1 - Santiago
32,1,CELEBRATION,2015,3466.0,Santiago,1 - Santiago
33,1,CELEBRATION,2016,5727.0,Santiago,1 - Santiago
34,1,CELEBRATION,2017,3345.0,Santiago,1 - Santiago
35,1,CLEANING,2013,220024.0,Santiago,1 - Santiago
36,1,CLEANING,2014,227761.0,Santiago,1 - Santiago
