,date,family,sales,onpromotion
0,2013-01-01,AUTOMOTIVE,2028.375,0
1,2013-01-01,BABY CARE,2028.375,0
2,2013-01-01,BEAUTY,2028.375,0
3,2013-01-01,BEVERAGES,2028.375,0
4,2013-01-01,BOOKS,2028.375,0
5,2013-01-01,BREAD/BAKERY,2028.375,0
6,2013-01-01,CELEBRATION,2028.375,0
7,2013-01-01,CLEANING,2028.375,0
8,2013-01-01,DAIRY,2028.375,0
9,2013-01-01,DELI,2028.375,0
10,2013-01-01,EGGS,2028.375,0
11,2013-01-01,FROZEN FOODS,2028.375,0
12,2013-01-01,GROCERY I,2028.375,0
13,2013-01-01,GROCERY II,2028.375,0
14,2013-01-01,HARDWARE,2028.375,0
15,2013-01-01,HOME AND KITCHEN I,2028.375,0
16,2013-01-01,HOME AND KITCHEN II,2028.375,0
17,2013-01-01,HOME APPLIANCES,2028.375,0
18,2013-01-01,HOME CARE,2028.375,0
19,2013-01-01,LADIESWEAR,2028.375,0
20,2013-01-01,LAWN AND GARDEN,2028.375,0
21,2013-01-01,LINGERIE,2028.375,0
22,2013-01-01,"LIQUOR,WINE,BEER",2028.375,0
23,2013-01-01,MAGAZINES,2028.375,0
24,2013-01-01,MEATS,2028.375,0
25,2013-01-01,PERSONAL CARE,2028.375,0
26,2013-01-01,PET SUPPLIES,2028.375,0
27,2013-01-01,PLAYERS AND ELECTRONICS,2028.375,0
28,2013-01-01,POULTRY,2028.375,0
29,2013-01-01,PREPARED FOODS,2028.375,0
30,2013-01-01,PRODUCE,2028.375,0
31,2013-01-01,SCHOOL AND OFFICE SUPPLIES,2028.375,0
32,2013-01-01,SEAFOOD,2028.375,0
33,2013-01-02,AUTOMOTIVE,255.0,0
34,2013-01-02,BABY CARE,0.0,0
35,2013-01-02,BEAUTY,207.0,0
36,2013-01-02,BEVERAGES,72092.0,0
37,2013-01-02,BOOKS,0.0,0
38,2013-01-02,BREAD/BAKERY,26246.318,0
39,2013-01-02,CELEBRATION,0.0,0
40,2013-01-02,CLEANING,74629.0,0
41,2013-01-02,DAIRY,23381.0,0
42,2013-01-02,DELI,15754.5,0
43,2013-01-02,EGGS,10932.0,0
44,2013-01-02,FROZEN FOODS,7115.388,0
45,2013-01-02,GROCERY I,202020.0,0
46,2013-01-02,GROCERY II,1476.0,0
47,2013-01-02,HARDWARE,46.0,0
48,2013-01-02,HOME AND KITCHEN I,0.0,0
49,2013-01-02,HOME AND KITCHEN II,0.0,0
50,2013-01-02,HOME APPLIANCES,21.0,0
51,2013-01-02,HOME CARE,0.0,0
52,2013-01-02,LADIESWEAR,0.0,0
53,2013-01-02,LAWN AND GARDEN,121.0,0
54,2013-01-02,LINGERIE,469.0,0
55,2013-01-02,"LIQUOR,WINE,BEER",2411.0,0
56,2013-01-02,MAGAZINES,0.0,0
57,2013-01-02,MEATS,20871.465,0
58,2013-01-02,PERSONAL CARE,17204.0,0
59,2013-01-02,PET SUPPLIES,0.0,0
60,2013-01-02,PLAYERS AND ELECTRONICS,0.0,0
61,2013-01-02,POULTRY,13975.885,0
62,2013-01-02,PREPARED FOODS,5338.1123,0
63,2013-01-02,PRODUCE,0.0,0
64,2013-01-02,SCHOOL AND OFFICE SUPPLIES,0.0,0
65,2013-01-02,SEAFOOD,1526.75,0
66,2013-01-03,AUTOMOTIVE,161.0,0
67,2013-01-03,BABY CARE,0.0,0
68,2013-01-03,BEAUTY,125.0,0
69,2013-01-03,BEVERAGES,52105.0,0
70,2013-01-03,BOOKS,0.0,0
71,2013-01-03,BREAD/BAKERY,18456.48,0
72,2013-01-03,CELEBRATION,0.0,0
73,2013-01-03,CLEANING,55893.0,0
74,2013-01-03,DAIRY,18001.0,0
75,2013-01-03,DELI,11172.455,0
76,2013-01-03,EGGS,7358.0,0
77,2013-01-03,FROZEN FOODS,4760.805,0
78,2013-01-03,GROCERY I,144878.0,0
79,2013-01-03,GROCERY II,1048.0,0
80,2013-01-03,HARDWARE,37.0,0
81,2013-01-03,HOME AND KITCHEN I,0.0,0
82,2013-01-03,HOME AND KITCHEN II,0.0,0
83,2013-01-03,HOME APPLIANCES,15.0,0
