,date,store_nbr,sales
0,2013-01-01,1,0.0
11,2013-01-01,2,0.0
22,2013-01-01,3,0.0
33,2013-01-01,4,0.0
44,2013-01-01,5,0.0
50,2013-01-01,6,0.0
51,2013-01-01,7,0.0
52,2013-01-01,8,0.0
53,2013-01-01,9,0.0
1,2013-01-01,10,0.0
2,2013-01-01,11,0.0
3,2013-01-01,12,0.0
4,2013-01-01,13,0.0
5,2013-01-01,14,0.0
6,2013-01-01,15,0.0
7,2013-01-01,16,0.0
8,2013-01-01,17,0.0
9,2013-01-01,18,0.0
10,2013-01-01,19,0.0
12,2013-01-01,20,0.0
13,2013-01-01,21,0.0
14,2013-01-01,22,0.0
15,2013-01-01,23,0.0
16,2013-01-01,24,0.0
17,2013-01-01,25,2511.619
18,2013-01-01,26,0.0
19,2013-01-01,27,0.0
20,2013-01-01,28,0.0
21,2013-01-01,29,0.0
23,2013-01-01,30,0.0
24,2013-01-01,31,0.0
25,2013-01-01,32,0.0
26,2013-01-01,33,0.0
27,2013-01-01,34,0.0
28,2013-01-01,35,0.0
29,2013-01-01,36,0.0
30,2013-01-01,37,0.0
31,2013-01-01,38,0.0
32,2013-01-01,39,0.0
34,2013-01-01,40,0.0
35,2013-01-01,41,0.0
36,2013-01-01,42,0.0
37,2013-01-01,43,0.0
38,2013-01-01,44,0.0
39,2013-01-01,45,0.0
40,2013-01-01,46,0.0
41,2013-01-01,47,0.0
42,2013-01-01,48,0.0
43,2013-01-01,49,0.0
45,2013-01-01,50,0.0
46,2013-01-01,51,0.0
47,2013-01-01,52,0.0
48,2013-01-01,53,0.0
49,2013-01-01,54,0.0
54,2013-01-02,1,7417.148
65,2013-01-02,2,10266.719
76,2013-01-02,3,24060.348
87,2013-01-02,4,10200.084
98,2013-01-02,5,10598.619
104,2013-01-02,6,13520.485
105,2013-01-02,7,11997.502
106,2013-01-02,8,14659.328
107,2013-01-02,9,15867.483
55,2013-01-02,10,5430.088
56,2013-01-02,11,18329.639
57,2013-01-02,12,5854.517
58,2013-01-02,13,5516.831
59,2013-01-02,14,7698.253
60,2013-01-02,15,6577.805
61,2013-01-02,16,6242.572
62,2013-01-02,17,7673.513
63,2013-01-02,18,8204.567
64,2013-01-02,19,5615.389
66,2013-01-02,20,0.0
67,2013-01-02,21,0.0
68,2013-01-02,22,0.0
69,2013-01-02,23,6560.337
70,2013-01-02,24,11018.854
71,2013-01-02,25,5316.224
72,2013-01-02,26,5653.413
73,2013-01-02,27,7207.547
74,2013-01-02,28,5176.474
75,2013-01-02,29,0.0
77,2013-01-02,30,2623.009
78,2013-01-02,31,6637.56
79,2013-01-02,32,2441.508
80,2013-01-02,33,5720.771
81,2013-01-02,34,7749.6934
82,2013-01-02,35,2978.224
83,2013-01-02,36,0.0
84,2013-01-02,37,11111.839
85,2013-01-02,38,9198.507
86,2013-01-02,39,9956.371
88,2013-01-02,40,4965.014
89,2013-01-02,41,5205.833
90,2013-01-02,42,0.0
91,2013-01-02,43,6054.335
92,2013-01-02,44,30095.182
93,2013-01-02,45,27612.05
94,2013-01-02,46,27149.92
95,2013-01-02,47,27263.111
96,2013-01-02,48,19700.0
97,2013-01-02,49,16281.845
99,2013-01-02,50,16576.133
100,2013-01-02,51,15134.491
101,2013-01-02,52,0.0
102,2013-01-02,53,0.0
103,2013-01-02,54,4973.285
108,2013-01-03,1,5873.244
119,2013-01-03,2,7612.54
130,2013-01-03,3,18570.746
141,2013-01-03,4,7400.245
152,2013-01-03,5,7770.9683
158,2013-01-03,6,9929.393
159,2013-01-03,7,9277.958
160,2013-01-03,8,10781.243
161,2013-01-03,9,10431.719
109,2013-01-03,10,4549.53
110,2013-01-03,11,12356.205
111,2013-01-03,12,4460.164
112,2013-01-03,13,4852.439
113,2013-01-03,14,6158.576
114,2013-01-03,15,5691.447
115,2013-01-03,16,5316.415
116,2013-01-03,17,5523.241
117,2013-01-03,18,5107.041
118,2013-01-03,19,3783.087
120,2013-01-03,20,0.0
121,2013-01-03,21,0.0
122,2013-01-03,22,0.0
123,2013-01-03,23,4911.204
124,2013-01-03,24,10086.241
125,2013-01-03,25,4442.913
126,2013-01-03,26,3477.559
127,2013-01-03,27,4387.566
128,2013-01-03,28,4142.3037
129,2013-01-03,29,0.0
131,2013-01-03,30,2538.315
132,2013-01-03,31,5437.826
133,2013-01-03,32,2589.699
134,2013-01-03,33,5167.402
135,2013-01-03,34,6246.7217
136,2013-01-03,35,2699.277
137,2013-01-03,36,0.0
138,2013-01-03,37,9335.661
139,2013-01-03,38,7860.617
140,2013-01-03,39,6986.4453
142,2013-01-03,40,4484.828
143,2013-01-03,41,3699.117
144,2013-01-03,42,0.0
145,2013-01-03,43,5206.779
146,2013-01-03,44,20447.057
147,2013-01-03,45,17377.98
148,2013-01-03,46,15751.355
149,2013-01-03,47,18340.205
150,2013-01-03,48,14350.784
151,2013-01-03,49,9909.082
153,2013-01-03,50,11066.465
154,2013-01-03,51,11170.057
155,2013-01-03,52,0.0
156,2013-01-03,53,0.0
157,2013-01-03,54,3901.57
162,2013-01-04,1,5919.879
173,2013-01-04,2,7526.377
184,2013-01-04,3,17392.098
195,2013-01-04,4,6902.05
206,2013-01-04,5,7347.642
212,2013-01-04,6,8869.212
213,2013-01-04,7,8096.573
214,2013-01-04,8,11124.65
215,2013-01-04,9,8085.1587
163,2013-01-04,10,3381.016
164,2013-01-04,11,12171.998
165,2013-01-04,12,3684.053
166,2013-01-04,13,4249.484
167,2013-01-04,14,5777.689
168,2013-01-04,15,4825.647
169,2013-01-04,16,4616.99
170,2013-01-04,17,5239.569
171,2013-01-04,18,4033.748
172,2013-01-04,19,3233.503
174,2013-01-04,20,0.0
175,2013-01-04,21,0.0
176,2013-01-04,22,0.0
177,2013-01-04,23,5620.5283
178,2013-01-04,24,10059.481
179,2013-01-04,25,4844.354
180,2013-01-04,26,3538.449
181,2013-01-04,27,4586.466
182,2013-01-04,28,2615.645
183,2013-01-04,29,0.0
185,2013-01-04,30,1987.33
186,2013-01-04,31,6107.6357
187,2013-01-04,32,2705.501
188,2013-01-04,33,4282.112
189,2013-01-04,34,6100.12
190,2013-01-04,35,2406.925
191,2013-01-04,36,0.0
192,2013-01-04,37,8954.49
193,2013-01-04,38,7433.773
194,2013-01-04,39,5605.498
196,2013-01-04,40,3838.027
197,2013-01-04,41,3581.132
198,2013-01-04,42,0.0
199,2013-01-04,43,5499.704
200,2013-01-04,44,22795.799
201,2013-01-04,45,19936.195
202,2013-01-04,46,17073.064
203,2013-01-04,47,18982.01
204,2013-01-04,48,15276.803
205,2013-01-04,49,10284.566
207,2013-01-04,50,12147.439
208,2013-01-04,51,12452.326
209,2013-01-04,52,0.0
210,2013-01-04,53,0.0
211,2013-01-04,54,3266.966
216,2013-01-05,1,6318.785
227,2013-01-05,2,9539.566
238,2013-01-05,3,22700.871
249,2013-01-05,4,9948.383
260,2013-01-05,5,8192.598
266,2013-01-05,6,12431.689
267,2013-01-05,7,8610.606
268,2013-01-05,8,14277.699
269,2013-01-05,9,13057.11
217,2013-01-05,10,5409.785
218,2013-01-05,11,14763.049
219,2013-01-05,12,4818.668
220,2013-01-05,13,6465.232
221,2013-01-05,14,7974.621
222,2013-01-05,15,5694.056
223,2013-01-05,16,6014.655
224,2013-01-05,17,7557.546
225,2013-01-05,18,6510.638
226,2013-01-05,19,6363.821
228,2013-01-05,20,0.0
229,2013-01-05,21,0.0
230,2013-01-05,22,0.0
231,2013-01-05,23,6041.002
232,2013-01-05,24,12031.909
233,2013-01-05,25,5817.526
234,2013-01-05,26,5503.186
235,2013-01-05,27,6731.607
236,2013-01-05,28,5939.632
237,2013-01-05,29,0.0
239,2013-01-05,30,2811.188
240,2013-01-05,31,5875.189
241,2013-01-05,32,2623.645
242,2013-01-05,33,5981.775
243,2013-01-05,34,7189.406
244,2013-01-05,35,2981.362
245,2013-01-05,36,0.0
246,2013-01-05,37,11268.065
247,2013-01-05,38,9842.551
248,2013-01-05,39,9256.675
250,2013-01-05,40,5314.727
251,2013-01-05,41,4694.56
252,2013-01-05,42,0.0
253,2013-01-05,43,4328.885
254,2013-01-05,44,31382.508
255,2013-01-05,45,27104.223
256,2013-01-05,46,27231.197
257,2013-01-05,47,26996.264
258,2013-01-05,48,22876.475
259,2013-01-05,49,13506.025
261,2013-01-05,50,17930.363
262,2013-01-05,51,15046.247
263,2013-01-05,52,0.0
264,2013-01-05,53,0.0
265,2013-01-05,54,4394.549
270,2013-01-06,1,2199.087
281,2013-01-06,2,10322.388
292,2013-01-06,3,25343.62
303,2013-01-06,4,11679.691
314,2013-01-06,5,10843.232
320,2013-01-06,6,16533.562
321,2013-01-06,7,8770.658
322,2013-01-06,8,14425.471
323,2013-01-06,9,15936.53
271,2013-01-06,10,5722.053
272,2013-01-06,11,15739.276
273,2013-01-06,12,5762.309
274,2013-01-06,13,4551.895
275,2013-01-06,14,4856.513
276,2013-01-06,15,5224.99
277,2013-01-06,16,7543.599
278,2013-01-06,17,7420.16
279,2013-01-06,18,7336.31
280,2013-01-06,19,4313.378
282,2013-01-06,20,0.0
283,2013-01-06,21,0.0
284,2013-01-06,22,0.0
285,2013-01-06,23,5231.643
286,2013-01-06,24,11025.586
287,2013-01-06,25,3201.6948
288,2013-01-06,26,5584.29
289,2013-01-06,27,8491.491
290,2013-01-06,28,7467.176
291,2013-01-06,29,0.0
293,2013-01-06,30,2843.072
294,2013-01-06,31,7957.275
295,2013-01-06,32,2626.747
296,2013-01-06,33,7484.563
297,2013-01-06,34,6738.951
298,2013-01-06,35,2485.15
299,2013-01-06,36,0.0
300,2013-01-06,37,9288.223
301,2013-01-06,38,11317.936
302,2013-01-06,39,8925.654
304,2013-01-06,40,5014.737
305,2013-01-06,41,6589.42
306,2013-01-06,42,0.0
307,2013-01-06,43,4978.987
308,2013-01-06,44,36069.344
309,2013-01-06,45,31532.04
310,2013-01-06,46,34434.426
311,2013-01-06,47,31646.357
312,2013-01-06,48,28802.994
313,2013-01-06,49,16539.775
