date,store_nbr,sales
2017-01-01,1,0.0
2017-01-02,1,5624.026
2017-01-03,1,14932.341
2017-01-04,1,16356.818
2017-01-05,1,12789.186
2017-01-06,1,13364.828
2017-01-07,1,11773.943
2017-01-08,1,6144.007
2017-01-09,1,14312.391
2017-01-10,1,12060.286
2017-01-11,1,14150.699
2017-01-12,1,10831.247
2017-01-13,1,13469.946
2017-01-14,1,12338.47
2017-01-15,1,5986.06
2017-01-16,1,11797.986
2017-01-17,1,12942.477
2017-01-18,1,14276.437
2017-01-19,1,10505.899
2017-01-20,1,10766.622
2017-01-21,1,13271.161
2017-01-22,1,5245.27
2017-01-23,1,12973.752
2017-01-24,1,11331.452
2017-01-25,1,13740.706
2017-01-26,1,10407.096
2017-01-27,1,12294.119
2017-01-28,1,11856.994
2017-01-29,1,5238.817
2017-01-30,1,10890.876
2017-01-31,1,10125.046
2017-02-01,1,14961.58
2017-02-02,1,11341.543
2017-02-03,1,12461.349
2017-02-04,1,12703.63
2017-02-05,1,5266.359
2017-02-06,1,10858.515
2017-02-07,1,11408.945
2017-02-08,1,13686.225
2017-02-09,1,10527.45
2017-02-10,1,12853.598
2017-02-11,1,12587.979
2017-02-12,1,5495.094
2017-02-13,1,12579.338
2017-02-14,1,10865.672
2017-02-15,1,13083.796
2017-02-16,1,10306.516
2017-02-17,1,12547.407
2017-02-18,1,13379.741
2017-02-19,1,4761.382
2017-02-20,1,11006.965
2017-02-21,1,11075.815
2017-02-22,1,12969.769
2017-02-23,1,10394.718
2017-02-24,1,12310.243
2017-02-25,1,10516.325
2017-02-26,1,3475.0261
2017-02-27,1,2951.041
2017-02-28,1,5553.757
2017-03-01,1,16819.463
2017-03-02,1,12781.885
2017-03-03,1,13219.127
2017-03-04,1,12086.526
2017-03-05,1,5156.6343
2017-03-06,1,10819.112
2017-03-07,1,14300.59
2017-03-08,1,13247.726
2017-03-09,1,10605.343
2017-03-10,1,12329.871
2017-03-11,1,11997.51
2017-03-12,1,5897.179
2017-03-13,1,11353.198
2017-03-14,1,10622.636
2017-03-15,1,14398.525
2017-03-16,1,10642.391
2017-03-17,1,15182.124
2017-03-18,1,11699.793
2017-03-19,1,5631.118
2017-03-20,1,11953.704
2017-03-21,1,12336.948
2017-03-22,1,14122.55
2017-03-23,1,10741.143
2017-03-24,1,13505.038
2017-03-25,1,11667.069
2017-03-26,1,5306.737
2017-03-27,1,11811.434
2017-03-28,1,10759.355
2017-03-29,1,14369.385
2017-03-30,1,10265.408
2017-03-31,1,13320.379
2017-04-01,1,15094.336
2017-04-02,1,5521.682
2017-04-03,1,11166.367
2017-04-04,1,11028.609
2017-04-05,1,15539.17
2017-04-06,1,10487.067
2017-04-07,1,13014.477
2017-04-08,1,12509.368
2017-04-09,1,5621.146
2017-04-10,1,10221.429
2017-04-11,1,10463.389
2017-04-12,1,14034.1045
2017-04-13,1,11394.876
2017-04-14,1,4192.903
2017-04-15,1,8229.871
2017-04-16,1,4695.418
2017-04-17,1,12958.249
2017-04-18,1,10410.46
2017-04-19,1,13399.714
2017-04-20,1,10048.905
2017-04-21,1,13296.024
2017-04-22,1,11995.482
2017-04-23,1,4800.86
2017-04-24,1,11186.166
2017-04-25,1,10352.573
2017-04-26,1,13849.351
2017-04-27,1,9760.477
2017-04-28,1,12199.5205
2017-04-29,1,10542.024
2017-04-30,1,4141.205
2017-05-01,1,4031.118
2017-05-02,1,14847.013
2017-05-03,1,15268.652
2017-05-04,1,11149.448
2017-05-05,1,12701.115
2017-05-06,1,11937.496
2017-05-07,1,4812.538
2017-05-08,1,11854.107
2017-05-09,1,10843.036
2017-05-10,1,13250.725
